Event.Id,text_cluster
20001226X45490,1
20001206X02422,1
20001212X22693,4
20100707X80238,3
20001213X25189,1
20001208X05445,1
20001214X42736,4
20001213X27358,3
20121114X82049,1
20090821X51934,3
20130826X25737,1
20131020X42000,0
20001214X39742,3
20001207X03471,1
20100217X01727,2
20001211X15231,1
20001208X07612,1
20020917X03221,1
20001208X07890,2
20001212X19161,3
20001212X16597,0
20001213X33353,1
20001214X37848,3
20130628X45644,1
20001213X27404,1
20001213X35278,4
20111018X03714,1
20090518X51622,3
20011026X02152,5
20001212X20326,3
20001212X22878,3
20001208X07049,0
20001211X12000,1
20050208X00157,3
20130611X50611,2
20090202X04702,0
20001207X03297,1
20001206X01411,1
20001213X28234,1
20001213X32622,3
20001213X31456,4
20001213X33270,5
20001212X17647,0
20001214X41693,4
20001214X40101,4
20001214X38752,4
20001214X42432,2
20030212X00203,1
20001212X21078,1
20001211X10467,3
20001211X12119,3
20001213X30348,3
20080116X00063,1
20001211X10953,1
20001212X18779,3
20030912X01532,3
20001208X05095,3
20061031X01587,2
20030717X01136,3
20001207X04504,1
20001213X25627,5
20001214X39504,4
20140629X13627,5
20020611X00852,1
20001212X22766,0
20130725X10529,1
20001212X17591,1
20140811X81213,1
20150629X64512,3
20071026X01664,0
20001208X05184,1
20001213X27589,4
20001214X36129,4
20120610X90234,1
20120402X73702,3
20060203X00157,3
20001212X23669,1
20150115X71911,3
20001206X01299,0
20001213X27105,4
20001213X26332,1
20001213X31501,3
20110825X50808,3
20120724X74125,0
20001206X01483,0
20080326X00387,3
20030411X00486,2
20131121X72932,1
20001208X08200,3
20001213X25766,1
20001211X15177,1
20150630X71019,1
20001211X13015,3
20001207X04441,1
20001213X34764,4
20001214X36315,4
20001212X23995,0
20121019X62323,1
20001213X35173,2
20001212X18548,0
20020531X00788,3
20001213X29934,2
20050228X00239,5
20001206X00833,3
20001213X28672,1
20020625X00963,1
20040318X00334,3
20001213X27909,4
20001214X38381,1
20001214X44789,2
20020917X03901,1
20020917X03956,3
20001213X28840,3
20001208X06700,3
20010809X01648,0
20070725X01014,3
20001211X14472,1
20001213X25554,1
20020529X00756,1
20001214X40764,4
20001214X43404,4
20100531X11238,3
20020821X01443,1
20001214X41299,4
20020917X04019,4
20140703X12549,2
20130531X85634,3
20001204X00015,3
20071002X01490,0
20001211X15739,3
20150407X51700,3
20001213X26842,5
20001211X15623,5
20001213X33898,5
20001206X00691,3
20070911X01361,5
20100312X84023,1
20001212X19808,1
20001212X19599,0
20001213X25437,1
20001213X30613,0
20001214X37614,1
20041213X01973,3
20001214X36990,2
20020917X02881,1
20020917X03397,5
20001212X20597,1
20001213X28285,1
20001207X02929,0
20001214X37741,1
20001208X07065,5
20071113X01791,3
20001214X44231,2
20001213X24847,4
20010430X00836,1
20001214X40890,4
20001214X39650,4
20001204X00115,5
20001212X22916,0
20001212X24630,2
20001213X35237,1
20001214X39523,4
20070508X00528,0
20070207X00148,1
20100825X95745,0
20001213X27609,4
20001213X30523,4
20110216X52308,1
20030710X01061,2
20060922X01374,0
20150622X33904,1
20001207X03261,3
20001211X15004,1
20001212X21897,3
20070130X00115,3
20010509X00918,2
20001212X19279,3
20010712X01397,1
20150818X14949,1
20100329X90200,3
20100305X21547,3
20001212X18723,5
20021212X05602,1
20001212X18110,3
20001213X25465,4
20001213X32196,2
20001214X37948,2
20001214X45066,4
20110822X12509,3
20010413X00744,1
20001214X35537,4
20001213X25211,4
20001214X35914,4
20001214X44136,4
20091214X24102,1
20090831X32947,3
20001211X13943,3
20100614X85506,3
20001211X11188,3
20050628X00885,3
20010517X00946,1
20001212X20804,5
20001208X05430,1
20001214X38430,4
20001213X25172,4
20001213X33712,1
20110513X60749,1
20020917X03949,1
20140819X12142,1
20001208X06150,3
20001212X19680,3
20001213X32983,1
20001214X36514,4
20080306X00281,1
20001206X02532,1
20130728X01815,1
20001212X20615,0
20001213X25917,4
20001213X34045,4
20021025X05386,1
20001213X34208,4
20001211X11244,2
20001208X07063,0
20001214X36791,4
20001214X40679,4
20150810X22742,1
20140817X30234,1
20001208X08593,0
20001208X08325,0
20020917X02224,1
20001208X05378,1
20001213X27084,1
20080403X00415,0
20001213X31080,1
20031105X01865,1
20001212X23466,3
20001213X25769,4
20091012X13742,1
20001214X39741,1
20001213X30734,5
20001214X44848,4
20150330X64758,1
20001214X38462,4
20011030X02165,2
20001214X38940,4
20001214X35449,1
20001214X40633,2
20080915X01463,0
20001212X23858,3
20001208X08117,1
20001213X33632,4
20020917X03760,0
20001207X03060,1
20001211X13696,0
20060824X01235,1
20001213X26738,1
20021003X05279,0
20001214X37604,1
20001213X33206,1
20110110X84545,1
20001213X34404,4
20001214X44249,1
20001212X17652,1
20001212X16940,2
20001214X35558,4
20140216X74111,1
20120826X03612,3
20060317X00321,0
20001207X04289,1
20071101X01701,3
20130605X93507,3
20130415X21911,3
20001211X12559,3
20001214X44563,4
20140918X54351,3
20150408X32509,2
20001214X36196,1
20020917X02583,3
20111231X23658,1
20001211X13214,1
20001211X11737,2
20001211X14726,3
20001213X30484,3
20080908X01414,3
20001214X40722,4
20001213X34779,4
20061220X01811,1
20001211X14271,1
20001214X37706,4
20130903X23635,2
20100907X31921,3
20001211X10124,3
20090617X55712,3
20040825X01286,1
20001212X18164,0
20001213X34501,1
20001214X37190,4
20001214X40966,4
20001214X40345,4
20121022X70354,5
20030317X00348,3
20001214X40089,5
20020917X03026,0
20131018X52132,3
20090420X61500,1
20110415X80220,3
20080728X01119,1
20001212X18841,0
20001212X21745,1
20001214X38373,4
20001208X06695,2
20030520X00704,5
20001206X00923,5
20060512X00567,3
20001212X21316,3
20001212X21477,3
20050510X00583,0
20070111X00041,1
20001212X20874,1
20001208X06630,0
20001213X26522,1
20001211X12707,5
20001213X25763,4
20120521X05217,2
20001214X41540,4
20001206X01976,3
20140527X14849,0
20040303X00259,1
20001208X09180,0
20020124X00116,1
20050516X00621,1
20001213X31302,4
20001213X29742,4
20030515X00668,1
20001213X31284,2
20080731X01136,3
20020917X04483,0
20001206X02513,1
20001208X05891,3
20001211X11022,3
20001211X15232,0
20001214X38048,4
20150610X05937,3
20050307X00272,1
20001212X24433,3
20060620X00779,3
20050906X01388,1
20001214X39783,4
20001213X25050,0
20020731X01278,2
20030106X00017,1
20001207X02867,5
20150622X71912,3
20021022X05356,1
20040624X00865,2
20001213X33244,1
20001213X32837,4
20001205X00320,0
20001214X38541,4
20001212X22759,0
20001206X02521,0
20020917X05040,1
20001207X04326,3
20001212X18072,4
20001212X24182,1
20051026X01731,1
20001213X25154,1
20001213X32028,1
20090601X72555,1
20001212X20392,5
20080107X00026,3
20010813X01666,5
20010120X00333,3
20040608X00757,2
20001208X05507,2
20001206X01644,3
20131117X90100,1
20001211X14812,2
20001204X00109,1
20001212X17381,1
20001212X24590,2
20001213X32379,4
20040401X00410,3
20090306X10259,3
20050414X00458,1
20001212X21593,3
20020917X04823,1
20041105X01768,3
20010723X01476,1
20001214X43458,4
20001212X19193,1
20010105X00032,5
20001208X06823,5
20070511X00550,3
20050810X01197,1
20021118X05481,3
20001207X04087,0
20001212X22433,5
20001211X16239,1
20001205X00225,1
20080603X00777,1
20001213X34352,4
20020917X04352,1
20001212X24174,1
20001213X28729,4
20100512X55519,5
20001214X35892,4
20020917X04105,0
20001212X17294,0
20050420X00486,3
20001213X27196,4
20020910X01573,3
20030618X00894,5
20001213X26951,1
20001208X08046,0
20001208X08651,2
20001213X26164,4
20001214X36088,4
20001214X38273,4
20020917X02442,1
20110930X33258,1
20001213X26010,0
20001208X06723,3
20001213X28265,2
20120808X90723,3
20001213X26449,2
20001214X38262,4
20001211X11541,1
20001214X44360,4
20001207X04871,2
20001212X20331,1
20001208X06404,1
20031205X01997,3
20001208X09209,3
20001207X02879,1
20001214X45033,1
20001211X13124,2
20100522X11639,2
20001211X13687,5
20001212X20788,1
20001212X23387,4
20001208X07053,1
20001212X23688,0
20001213X34342,1
20060316X00314,1
20001211X10848,1
20131108X20607,1
20061214X01792,3
20001211X10795,0
20020124X00124,1
20001211X14853,5
20050804X01162,3
20131104X42426,1
20001212X17011,1
20080207X00151,3
20040513X00599,1
20001212X20159,3
20001214X36462,4
20060411X00421,1
20001214X38594,4
20001213X31131,0
20020917X04372,1
20001211X12537,3
20001212X21061,3
20001212X17459,0
20001213X30052,4
20020917X02109,4
20090914X13821,1
20071029X01675,1
20001212X20449,2
20001211X12883,1
20001213X31391,1
20120312X00949,1
20090102X40252,5
20001214X35769,1
20001206X02623,1
20001214X38265,4
20010407X00719,5
20020917X04174,4
20001214X40701,4
20001214X41808,4
20001214X44514,4
20100228X15957,0
20040422X00498,3
20001212X22465,0
20150316X21312,0
20001211X14592,3
20110706X23910,1
20021118X05482,0
20001212X21274,1
20001214X40113,4
20140919X32214,1
20001212X16790,1
20001213X31011,4
20001211X10156,5
20130710X03512,2
20070730X01056,2
20020606X00824,0
20020917X02634,0
20030627X00968,0
20020917X02962,3
20001213X26732,2
20001213X34107,4
20001212X18294,1
20041221X02015,5
20001207X05067,3
20020318X00361,5
20020917X04592,1
20001214X42436,4
20040526X00673,3
20051024X01716,1
20001206X02292,3
20011221X02431,1
20040210X00177,3
20001211X15378,1
20001212X18923,3
20001213X30907,4
20050712X00994,0
20140626X51345,1
20001208X07381,3
20150703X93830,1
20001212X21996,1
20001214X39035,4
20001212X21176,2
20070917X01396,1
20070806X01114,1
20001212X16891,1
20001214X36288,4
20071009X01537,3
20001211X10719,1
20001214X40808,4
20040715X00985,1
